"id","title","url","type","publisher","category","version","description"
"epub-a11y-eaa-mapping","EPUB Accessibility European Accessibility Act (EAA) Mapping","https://www.w3.org/TR/epub-a11y-eaa-mapping/","Note","PMWG","A11y","1.0","Mapping between European Accessibility Act requirements and EPUB Accessibility 1.1."
"epub-a11y-tech-11","EPUB Accessibility Techniques 1.1","https://www.w3.org/TR/epub-a11y-tech-11/","Note","PMWG","A11y","1.1","Comprehensive techniques for meeting accessibility requirements in EPUB 3.3 and EPUB Accessibility 1.1."
"epub-a11y-11","EPUB Accessibility 1.1","https://www.w3.org/TR/epub-a11y-11/","Recommendation","PMWG","A11y","1.1","Official W3C Recommendation specifying content accessibility requirements and metadata for EPUB."
"epub-rs-33","EPUB Reading Systems 3.3","https://www.w3.org/TR/epub-rs-33/","Recommendation","PMWG","Reading Systems","3.3","Official W3C Recommendation defining reading system conformance and processing requirements for EPUB 3.3."
"epub-aria-authoring-11","EPUB-ARIA Authoring Guide 1.1","https://www.w3.org/TR/epub-aria-authoring-11/","Note","EPUB3 WG","A11y","1.1","Guide for digital publishing content creators on using WAI-ARIA with EPUB."
"cg-crosswalk-20260326","Crosswalk for Accessibility Metadata (2026)","https://www.w3.org/community/reports/publishingcg/CG-FINAL-crosswalk-20260326/","Report","PubCG","A11y","2026","Community Group report aligning accessibility metadata across Schema.org, ONIX, and EPUB."
"cg-onix-techniques-20251222","ONIX Accessibility Techniques","https://www.w3.org/community/reports/publishingcg/CG-FINAL-onix-techniques-20251222/","Report","PubCG","A11y","2025","Techniques for expressing accessibility metadata in ONIX feeds for publishing distribution."
"cg-epub-techniques-20251222","EPUB Accessibility Techniques (PubCG Final)","https://www.w3.org/community/reports/publishingcg/CG-FINAL-epub-techniques-20251222/","Report","PubCG","A11y","2025","Community Group final report on authoring accessible EPUB publications."
"cg-a11y-display-guidelines-20251222","Display Guidelines for Accessibility Metadata","https://www.w3.org/community/reports/publishingcg/CG-FINAL-a11y-display-guidelines-20251222/","Report","PubCG","A11y","2025","Guidelines for digital retail platforms and libraries on displaying accessibility metadata to end users."
"cg-a11y-discov-crosswalk-20240906","Accessibility Discovery Vocabulary Crosswalk","https://www.w3.org/community/reports/a11y-discov-vocab/CG-FINAL-crosswalk-20240906/","Report","PubCG","A11y","2024","Crosswalk mapping accessibility discovery properties between EPUB metadata and vocabulary terms."
"cg-schema-a11y-summary-20230516","Schema.org Accessibility Summary Recommendation","https://www.w3.org/community/reports/publishingcg/CG-FINAL-schema-a11y-summary-20230516/","Report","PubCG","A11y","2023","Best practices for authoring human-readable accessibility summaries using Schema.org properties."
"cg-page-source-id-20230314","Page Source Identification (Print Pagination Reference)","https://www.w3.org/community/reports/publishingcg/CG-FINAL-page-source-id-20230314/","Report","PubCG","EPUB General","2023","Techniques for identifying the print source edition used to generate digital page breaks and page-lists."
"cg-audio-playback-20230314","Audio Playback in EPUB","https://www.w3.org/community/reports/publishingcg/CG-FINAL-audio-playback-20230314/","Report","PubCG","Audio | Media","2023","Guidance on embedding, controlling, and syncing audio playback in EPUB content."
"w3c-ecosystems-publishing-legacy","W3C Publishing Ecosystems Overview","https://www.w3.org/ecosystems/publishing/","Legacy","W3C Evangelists","Publishing","Legacy","Historical overview of publishing standards and web integration initiatives at W3C."
"w3c-github-publishing","Publishing at W3C Portal","https://w3c.github.io/publishing/","Legacy","W3C Publishing","Publishing","Legacy","GitHub resource hub and landing page for W3C Publishing working groups."
"w3c-ecosystems-publishing-post","Publishing Ecosystem Announcements & Posts","https://www.w3.org/ecosystems/publishing/","Post","W3C Publishing","Publishing","Current","Blog updates, event announcements, and activity reports from W3C Publishing."
"epub-current-standard","EPUB Standard (Latest W3C Recommendation Redirect)","https://www.w3.org/TR/epub/","Recommendation","PMWG","EPUB General","Latest","Canonical redirect pointing to the latest version of the EPUB standard."
"epub-overview-34-authoring","EPUB 3.4 Authoring Guidelines & Overview","https://www.w3.org/TR/epub-overview-34/","Note","PMWG","Authoring","3.4","Authoring-centric walkthrough of EPUB 3.4 features, syntax changes, and deprecations."
"w3c-github-epub-portal","EPUB Working Group Hub (GitHub)","https://w3c.github.io/epub/","Post","PMWG","EPUB General","Current","Landing page and status dashboard for EPUB working drafts, test suites, and discussions."
"w3c-publishing-events","W3C Publishing Events Archive","https://w3c.github.io/publishing/events","Legacy","W3C Publishing","EPUB feedback","Historical","Archive of publishing summits, workshops, and community feedback events."
"w3c-publishing-testimonials","W3C Publishing Testimonials","https://w3c.github.io/publishing/testimonials","Legacy","W3C Publishing","Publishing","Historical","Industry testimonials and adoption statements for EPUB and web publishing."
"cg-package-metadata-authoring","Package Metadata Authoring Guide","https://w3c-cg.github.io/publ-a11y/package-metadata-authoring-guide/","Report","PubCG","A11y","2024","Step-by-step authoring guide for crafting accessible package metadata in EPUB OPF package documents."
